code,name
DWBBOBrand-manage,BO Brand
DWBBOColor-manage,BO Color
DWBBOEngine-manage,BO Engine
DWBBOEquipment-manage,BO Equipment
DWBBOModel-manage,BO Model
DWBBOPartner-manage,BO Partner
DWBBOTransmission-manage,BO Transmission
DWBCarConfigurator-edit,Car Configurator
DWBFleetApplication-manage,Fleet Application
DWBOffer-manage,Offer
DWBOrder-release,Order Release
DWBOrder-manage,Order Manage
DWBSalesMessage-release,Sales Message Release
DWBSalesMessage-manage, Sales Message Manage
DWBSession-display,Session
DWBVehicle-display,Vehicle